#
# Engine name: 
# 周四 12月 11 18:10:18 2025
#
# Lc= 181.76153 mm	 Rc=  32.19783 mm
# R1=  19.31870 mm	 R2=  62.43902 mm
# bc=  30.00000   	 Rt=  12.87913 mm
# Le=  86.37848 mm	 Re=  35.64633 mm
# Rn=   4.91983 mm
# c1=  22.74560   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   32.19783
  126.39365	   32.19783
  127.52094	   32.18765
  128.64785	   32.15713
  129.77403	   32.10626
  130.89911	   32.03507
  132.02272	   31.94357
  133.14450	   31.83181
  134.26407	   31.69981
  135.38108	   31.54762
  136.49516	   31.37529
  137.60595	   31.18287
  138.71308	   30.97044
  139.81619	   30.73804
  140.91493	   30.48577
  142.00894	   30.21370
  143.09786	   29.92193
  144.18133	   29.61054
  145.25900	   29.27965
  146.33053	   28.92935
  147.39555	   28.55976
  148.45373	   28.17100
  149.50471	   27.76321
  150.54817	   27.33650
  151.58375	   26.89103
  152.61111	   26.42693
  153.62994	   25.94436
  154.63988	   25.44348
  155.64061	   24.92444
  156.63182	   24.38742
  157.61316	   23.83259
  172.10218	   15.46735
  172.40581	   15.29568
  172.71249	   15.12953
  173.02212	   14.96894
  173.33460	   14.81396
  173.64982	   14.66465
  173.96769	   14.52106
  174.28810	   14.38323
  174.61095	   14.25121
  174.93612	   14.12504
  175.26352	   14.00476
  175.59304	   13.89040
  175.92457	   13.78202
  176.25801	   13.67964
  176.59323	   13.58330
  176.93015	   13.49302
  177.26863	   13.40885
  177.60858	   13.33079
  177.94989	   13.25889
  178.29244	   13.19316
  178.63612	   13.13363
  178.98081	   13.08031
  179.32642	   13.03322
  179.67281	   12.99238
  180.01989	   12.95780
  180.36754	   12.92949
  180.71564	   12.90746
  181.06408	   12.89173
  181.41275	   12.88228
  181.76153	   12.87913
  181.93905	   12.88234
  182.02773	   12.88634
  182.11633	   12.89194
  182.20482	   12.89914
  182.29316	   12.90794
  182.38132	   12.91833
  182.46929	   12.93031
  182.55702	   12.94387
  182.64450	   12.95901
  182.73168	   12.97573
  182.81855	   12.99402
  182.90508	   13.01388
  182.99124	   13.03529
  183.07699	   13.05826
  183.16232	   13.08276
  183.24719	   13.10881
  183.33157	   13.13638
  183.41545	   13.16547
  183.49879	   13.19606
  183.58156	   13.22816
  183.66374	   13.26174
  184.52752	   13.62211
  185.39131	   13.97914
  186.25509	   14.33285
  187.11887	   14.68323
  187.98266	   15.03022
  188.84644	   15.37397
  189.71023	   15.71450
  190.57401	   16.05181
  191.43780	   16.38583
  192.30158	   16.71671
  193.16537	   17.04446
  194.02915	   17.36910
  194.89294	   17.69060
  195.75672	   18.00898
  196.62051	   18.32433
  197.48429	   18.63667
  198.34808	   18.94602
  199.21186	   19.25237
  200.07565	   19.55569
  200.93943	   19.85608
  201.80322	   20.15357
  202.66700	   20.44817
  203.53078	   20.73991
  204.39457	   21.02880
  205.25835	   21.31477
  206.12214	   21.59794
  206.98592	   21.87833
  207.84971	   22.15594
  208.71349	   22.43081
  209.57728	   22.70295
  210.44106	   22.97237
  211.30485	   23.23910
  212.16863	   23.50312
  213.03242	   23.76446
  213.89620	   24.02316
  214.75999	   24.27924
  215.62377	   24.53272
  216.48756	   24.78362
  217.35134	   25.03194
  218.21513	   25.27771
  219.07891	   25.52095
  219.94270	   25.76167
  220.80648	   25.99989
  221.67026	   26.23561
  222.53405	   26.46887
  223.39783	   26.69968
  224.26162	   26.92805
  225.12540	   27.15399
  225.98919	   27.37752
  226.85297	   27.59866
  227.71676	   27.81742
  228.58054	   28.03382
  229.44433	   28.24787
  230.30811	   28.45960
  231.17190	   28.66902
  232.03568	   28.87613
  232.89947	   29.08096
  233.76325	   29.28352
  234.62704	   29.48383
  235.49082	   29.68189
  236.35461	   29.87771
  237.21839	   30.07131
  238.08217	   30.26271
  238.94596	   30.45192
  239.80974	   30.63895
  240.67353	   30.82382
  241.53731	   31.00655
  242.40110	   31.18714
  243.26488	   31.36560
  244.12867	   31.54196
  244.99245	   31.71622
  245.85624	   31.88840
  246.72002	   32.05850
  247.58381	   32.22655
  248.44759	   32.39255
  249.31138	   32.55652
  250.17516	   32.71847
  251.03895	   32.87838
  251.90273	   33.03627
  252.76652	   33.19218
  253.63030	   33.34611
  254.49409	   33.49808
  255.35787	   33.64809
  256.22165	   33.79617
  257.08544	   33.94232
  257.94922	   34.08656
  258.81301	   34.22886
  259.67679	   34.36923
  260.54058	   34.50772
  261.40436	   34.64433
  262.26815	   34.77908
  263.13193	   34.91198
  263.99572	   35.04304
  264.85950	   35.17226
  265.72329	   35.29960
  266.58707	   35.42512
  267.45086	   35.54884
  268.14001	   35.64633
