#
# Engine name: 
# 周四 12月 11 18:10:18 2025
#
# Lc= 181.76153 mm	 Rc=  32.19783 mm
# R1=  19.31870 mm	 R2=  62.43902 mm
# bc=  30.00000   	 Rt=  12.87913 mm
# Le=  86.37848 mm	 Re=  35.64633 mm
# Rn=   4.91983 mm
# c1=  22.74560   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
     0.00000       35.64633
     0.68915       35.54884
     1.55294       35.42512
     2.41672       35.29960
     3.28051       35.17226
     4.14429       35.04304
     5.00808       34.91198
     5.87186       34.77908
     6.73565       34.64433
     7.59943       34.50772
     8.46322       34.36923
     9.32700       34.22886
    10.19079       34.08656
    11.05457       33.94232
    11.91836       33.79617
    12.78214       33.64809
    13.64592       33.49808
    14.50971       33.34611
    15.37349       33.19218
    16.23728       33.03627
    17.10106       32.87838
    17.96485       32.71847
    18.82863       32.55652
    19.69242       32.39255
    20.55620       32.22655
    21.41999       32.05850
    22.28377       31.88840
    23.14756       31.71622
    24.01134       31.54196
    24.87513       31.36560
    25.73891       31.18714
    26.60270       31.00655
    27.46648       30.82382
    28.33027       30.63895
    29.19405       30.45192
    30.05784       30.26271
    30.92162       30.07131
    31.78540       29.87771
    32.64919       29.68189
    33.51297       29.48383
    34.37676       29.28352
    35.24054       29.08096
    36.10433       28.87613
    36.96811       28.66902
    37.83190       28.45960
    38.69568       28.24787
    39.55947       28.03382
    40.42325       27.81742
    41.28704       27.59866
    42.15082       27.37752
    43.01461       27.15399
    43.87839       26.92805
    44.74218       26.69968
    45.60596       26.46887
    46.46975       26.23561
    47.33353       25.99989
    48.19731       25.76167
    49.06110       25.52095
    49.92488       25.27771
    50.78867       25.03194
    51.65245       24.78362
    52.51624       24.53272
    53.38002       24.27924
    54.24381       24.02316
    55.10759       23.76446
    55.97138       23.50312
    56.83516       23.23910
    57.69895       22.97237
    58.56273       22.70295
    59.42652       22.43081
    60.29030       22.15594
    61.15409       21.87833
    62.01787       21.59794
    62.88166       21.31477
    63.74544       21.02880
    64.60923       20.73991
    65.47301       20.44817
    66.33679       20.15357
    67.20058       19.85608
    68.06436       19.55569
    68.92815       19.25237
    69.79193       18.94602
    70.65572       18.63667
    71.51950       18.32433
    72.38329       18.00898
    73.24707       17.69060
    74.11086       17.36910
    74.97464       17.04446
    75.83843       16.71671
    76.70221       16.38583
    77.56600       16.05181
    78.42978       15.71450
    79.29357       15.37397
    80.15735       15.03022
    81.02114       14.68323
    81.88492       14.33285
    82.74870       13.97914
    83.61249       13.62211
    84.47627       13.26174
    84.55845       13.22816
    84.64122       13.19606
    84.72456       13.16547
    84.80844       13.13638
    84.89282       13.10881
    84.97769       13.08276
    85.06302       13.05826
    85.14877       13.03529
    85.23493       13.01388
    85.32146       12.99402
    85.40833       12.97573
    85.49551       12.95901
    85.58299       12.94387
    85.67072       12.93031
    85.75869       12.91833
    85.84685       12.90794
    85.93519       12.89914
    86.02368       12.89194
    86.11228       12.88634
    86.20096       12.88234
    86.37848       12.87913
    86.72726       12.88228
    87.07593       12.89173
    87.42437       12.90746
    87.77247       12.92949
    88.12012       12.95780
    88.46720       12.99238
    88.81359       13.03322
    89.15920       13.08031
    89.50389       13.13363
    89.84757       13.19316
    90.19012       13.25889
    90.53143       13.33079
    90.87138       13.40885
    91.20986       13.49302
    91.54678       13.58330
    91.88200       13.67964
    92.21544       13.78202
    92.54697       13.89040
    92.87649       14.00476
    93.20389       14.12504
    93.52906       14.25121
    93.85191       14.38323
    94.17232       14.52106
    94.49019       14.66465
    94.80541       14.81396
    95.11789       14.96894
    95.42752       15.12953
    95.73420       15.29568
    96.03783       15.46735
   110.52685       23.83259
   111.50819       24.38742
   112.49940       24.92444
   113.50013       25.44348
   114.51007       25.94436
   115.52890       26.42693
   116.55626       26.89103
   117.59184       27.33650
   118.63530       27.76321
   119.68628       28.17100
   120.74446       28.55976
   121.80948       28.92935
   122.88101       29.27965
   123.95868       29.61054
   125.04215       29.92193
   126.13107       30.21370
   127.22508       30.48577
   128.32382       30.73804
   129.42693       30.97044
   130.53406       31.18287
   131.64485       31.37529
   132.75893       31.54762
   133.87594       31.69981
   134.99551       31.83181
   136.11729       31.94357
   137.24090       32.03507
   138.36598       32.10626
   139.49216       32.15713
   140.61907       32.18765
   141.74636       32.19783
   268.14001       32.19783
