#
# Engine name: 
# 周五 12月 19 20:52:22 2025
#
# Lc= 230.84108 mm	 Rc=  51.47679 mm
# R1=  31.52297 mm	 R2=  97.92231 mm
# bc=  30.00000   	 Rt=  21.01531 mm
# Le= 130.08601 mm	 Re=  54.51542 mm
# Rn=   8.02785 mm
# c1=  22.10808   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
     0.00000       54.51542
     0.88126       54.39091
     2.18212       54.20509
     3.48299       54.01664
     4.78385       53.82554
     6.08471       53.63184
     7.38557       53.43552
     8.68643       53.23656
     9.98729       53.03496
    11.28815       52.83068
    12.58901       52.62369
    13.88987       52.41394
    15.19073       52.20148
    16.49159       51.98628
    17.79245       51.76835
    19.09331       51.54765
    20.39417       51.32417
    21.69503       51.09790
    22.99589       50.86882
    24.29675       50.63685
    25.59761       50.40202
    26.89847       50.16432
    28.19933       49.92375
    29.50019       49.68028
    30.80105       49.43389
    32.10191       49.18457
    33.40277       48.93230
    34.70363       48.67706
    36.00449       48.41884
    37.30535       48.15760
    38.60621       47.89335
    39.90707       47.62605
    41.20793       47.35568
    42.50879       47.08220
    43.80965       46.80562
    45.11051       46.52593
    46.41137       46.24309
    47.71223       45.95710
    49.01309       45.66793
    50.31395       45.37556
    51.61481       45.07998
    52.91567       44.78116
    54.21653       44.47907
    55.51739       44.17371
    56.81825       43.86505
    58.11911       43.55307
    59.41997       43.23774
    60.72083       42.91905
    62.02169       42.59697
    63.32255       42.27148
    64.62341       41.94256
    65.92427       41.61019
    67.22513       41.27434
    68.52599       40.93499
    69.82685       40.59212
    71.12771       40.24568
    72.42857       39.89565
    73.72943       39.54203
    75.03029       39.18478
    76.33115       38.82390
    77.63201       38.45934
    78.93287       38.09110
    80.23373       37.71913
    81.53459       37.34343
    82.83545       36.96396
    84.13631       36.58069
    85.43717       36.19361
    86.73803       35.80268
    88.03889       35.40779
    89.33975       35.00900
    90.64061       34.60627
    91.94147       34.19960
    93.24233       33.78894
    94.54319       33.37428
    95.84405       32.95557
    97.14491       32.53278
    98.44577       32.10578
    99.74664       31.67466
   101.04750       31.23939
   102.34836       30.79993
   103.64922       30.35626
   104.95008       29.90831
   106.25094       29.45596
   107.55180       28.99930
   108.85266       28.53831
   110.15352       28.07294
   111.45438       27.60315
   112.75524       27.12876
   114.05610       26.64990
   115.35696       26.16654
   116.65782       25.67865
   117.95868       25.18605
   119.25954       24.68876
   120.56040       24.18685
   121.86126       23.68025
   123.16212       23.16880
   124.46298       22.65251
   125.76384       22.13144
   127.06470       21.60556
   127.19560       21.55371
   127.32740       21.50417
   127.46004       21.45695
   127.59350       21.41206
   127.72771       21.36952
   127.86266       21.32934
   127.99829       21.29153
   128.13456       21.25611
   128.27143       21.22308
   128.40886       21.19246
   128.54680       21.16426
   128.68522       21.13847
   128.82407       21.11512
   128.96330       21.09421
   129.10289       21.07574
   129.24277       21.05972
   129.38292       21.04616
   129.52328       21.03506
   129.66381       21.02642
   129.80447       21.02025
   130.08602       21.01531
   130.65514       21.02045
   131.22407       21.03586
   131.79264       21.06154
   132.36065       21.09749
   132.92791       21.14368
   133.49425       21.20010
   134.05948       21.26674
   134.62341       21.34358
   135.18587       21.43058
   135.74666       21.52772
   136.30561       21.63498
   136.86252       21.75230
   137.41724       21.87966
   137.96956       22.01702
   138.51931       22.16433
   139.06631       22.32153
   139.61038       22.48859
   140.15135       22.66544
   140.68904       22.85203
   141.22327       23.04830
   141.75387       23.25418
   142.28067       23.46960
   142.80349       23.69451
   143.32217       23.92881
   143.83653       24.17244
   144.34641       24.42532
   144.85164       24.68736
   145.35206       24.95848
   145.84750       25.23859
   168.57045       38.35769
   170.10948       39.22782
   171.66397       40.07002
   173.23341       40.88402
   174.81729       41.66956
   176.41510       42.42636
   178.02630       43.15420
   179.65039       43.85283
   181.28682       44.52203
   182.93507       45.16157
   184.59460       45.77125
   186.26486       46.35087
   187.94532       46.90024
   189.63542       47.41918
   191.33461       47.90752
   193.04235       48.36511
   194.75806       48.79179
   196.48121       49.18742
   198.21121       49.55188
   199.94751       49.88505
   201.68954       50.18682
   203.43674       50.45708
   205.18853       50.69576
   206.94434       50.90277
   208.70361       51.07805
   210.46575       51.22153
   212.23020       51.33318
   213.99638       51.41296
   215.76370       51.46083
   217.53161       51.47679
   360.92710       51.47679
