#
# Engine name: 
# 周五 12月 19 20:52:22 2025
#
# Lc= 230.84108 mm	 Rc=  51.47679 mm
# R1=  31.52297 mm	 R2=  97.92231 mm
# bc=  30.00000   	 Rt=  21.01531 mm
# Le= 130.08601 mm	 Re=  54.51542 mm
# Rn=   8.02785 mm
# c1=  22.10808   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   51.47679
  143.39549	   51.47679
  145.16340	   51.46083
  146.93072	   51.41296
  148.69690	   51.33318
  150.46135	   51.22153
  152.22349	   51.07805
  153.98276	   50.90277
  155.73857	   50.69576
  157.49036	   50.45708
  159.23756	   50.18682
  160.97959	   49.88505
  162.71589	   49.55188
  164.44589	   49.18742
  166.16904	   48.79179
  167.88475	   48.36511
  169.59249	   47.90752
  171.29168	   47.41918
  172.98178	   46.90024
  174.66224	   46.35087
  176.33250	   45.77125
  177.99203	   45.16157
  179.64028	   44.52203
  181.27671	   43.85283
  182.90080	   43.15420
  184.51200	   42.42636
  186.10981	   41.66956
  187.69369	   40.88402
  189.26313	   40.07002
  190.81762	   39.22782
  192.35665	   38.35769
  215.07960	   25.23859
  215.57504	   24.95848
  216.07546	   24.68736
  216.58069	   24.42532
  217.09057	   24.17244
  217.60493	   23.92881
  218.12361	   23.69451
  218.64643	   23.46960
  219.17323	   23.25418
  219.70383	   23.04830
  220.23806	   22.85203
  220.77575	   22.66544
  221.31672	   22.48859
  221.86079	   22.32153
  222.40779	   22.16433
  222.95754	   22.01702
  223.50986	   21.87966
  224.06458	   21.75230
  224.62149	   21.63498
  225.18044	   21.52772
  225.74123	   21.43058
  226.30369	   21.34358
  226.86762	   21.26674
  227.43285	   21.20010
  227.99919	   21.14368
  228.56645	   21.09749
  229.13446	   21.06154
  229.70303	   21.03586
  230.27196	   21.02045
  230.84108	   21.01531
  231.12263	   21.02025
  231.26329	   21.02642
  231.40382	   21.03506
  231.54418	   21.04616
  231.68433	   21.05972
  231.82421	   21.07574
  231.96380	   21.09421
  232.10303	   21.11512
  232.24188	   21.13847
  232.38030	   21.16426
  232.51824	   21.19246
  232.65567	   21.22308
  232.79254	   21.25611
  232.92881	   21.29153
  233.06444	   21.32934
  233.19939	   21.36952
  233.33360	   21.41206
  233.46706	   21.45695
  233.59970	   21.50417
  233.73150	   21.55371
  233.86240	   21.60556
  235.16326	   22.13144
  236.46412	   22.65251
  237.76498	   23.16880
  239.06584	   23.68025
  240.36670	   24.18685
  241.66756	   24.68876
  242.96842	   25.18605
  244.26928	   25.67865
  245.57014	   26.16654
  246.87100	   26.64990
  248.17186	   27.12876
  249.47272	   27.60315
  250.77358	   28.07294
  252.07444	   28.53831
  253.37530	   28.99930
  254.67616	   29.45596
  255.97702	   29.90831
  257.27788	   30.35626
  258.57874	   30.79993
  259.87960	   31.23939
  261.18046	   31.67466
  262.48133	   32.10578
  263.78219	   32.53278
  265.08305	   32.95557
  266.38391	   33.37428
  267.68477	   33.78894
  268.98563	   34.19960
  270.28649	   34.60627
  271.58735	   35.00900
  272.88821	   35.40779
  274.18907	   35.80268
  275.48993	   36.19361
  276.79079	   36.58069
  278.09165	   36.96396
  279.39251	   37.34343
  280.69337	   37.71913
  281.99423	   38.09110
  283.29509	   38.45934
  284.59595	   38.82390
  285.89681	   39.18478
  287.19767	   39.54203
  288.49853	   39.89565
  289.79939	   40.24568
  291.10025	   40.59212
  292.40111	   40.93499
  293.70197	   41.27434
  295.00283	   41.61019
  296.30369	   41.94256
  297.60455	   42.27148
  298.90541	   42.59697
  300.20627	   42.91905
  301.50713	   43.23774
  302.80799	   43.55307
  304.10885	   43.86505
  305.40971	   44.17371
  306.71057	   44.47907
  308.01143	   44.78116
  309.31229	   45.07998
  310.61315	   45.37556
  311.91401	   45.66793
  313.21487	   45.95710
  314.51573	   46.24309
  315.81659	   46.52593
  317.11745	   46.80562
  318.41831	   47.08220
  319.71917	   47.35568
  321.02003	   47.62605
  322.32089	   47.89335
  323.62175	   48.15760
  324.92261	   48.41884
  326.22347	   48.67706
  327.52433	   48.93230
  328.82519	   49.18457
  330.12605	   49.43389
  331.42691	   49.68028
  332.72777	   49.92375
  334.02863	   50.16432
  335.32949	   50.40202
  336.63035	   50.63685
  337.93121	   50.86882
  339.23207	   51.09790
  340.53293	   51.32417
  341.83379	   51.54765
  343.13465	   51.76835
  344.43551	   51.98628
  345.73637	   52.20148
  347.03723	   52.41394
  348.33809	   52.62369
  349.63895	   52.83068
  350.93981	   53.03496
  352.24067	   53.23656
  353.54153	   53.43552
  354.84239	   53.63184
  356.14325	   53.82554
  357.44411	   54.01664
  358.74498	   54.20509
  360.04584	   54.39091
  360.92710	   54.51542
