axial_position_m,pre_gas_wall_K,pre_coolant_K,post_gas_wall_K,post_coolant_K
0.0,314.1586890999306,113.18469172195584,314.15641562075103,111.59416086822604
0.001805,317.23292050908657,116.35007293517207,316.39204576631397,113.18319257499543
0.003609,320.3367612742177,119.49289603782569,318.66108289466894,114.76577820862683
0.005414,323.4785238148637,122.61569080582566,320.97130462421035,116.34354476270087
0.007219,326.65188746602416,125.7156719539768,323.31776898652527,117.915484842385
0.009023,329.8589478584758,128.79001344245071,325.70402867853704,119.48059895849218
0.010828,333.1014229736936,131.8408806425544,328.1319120103148,121.04048141694614
0.012632,336.37460406657226,134.86355099187892,330.59867895819616,122.59325992950639
0.014437,339.687434527641,137.85991791772904,333.11359098988396,124.14050326254879
0.016242,343.03227082944414,140.82671613023572,335.6705764330279,125.68119100643696
0.018046,346.41029605085663,143.7606345870902,338.272548366815,127.21431182276861
0.019851,349.8254692129331,146.6631033372717,340.9239339092627,128.741394749978
0.021656,353.27285174455386,149.53052253885775,343.6215529331907,130.2614103930597
0.02346,356.75672903951164,152.35924499051293,346.3716770341296,131.7733379038072
0.025265,360.2760115866337,155.15016303988796,349.1738165765628,133.2786626521476
0.02707,363.83033615179204,157.89929529310533,352.0296478686588,134.77634513880446
0.028874,367.4199792122789,160.6026088483087,354.94153908081114,136.26535784266844
0.030679,371.0447020559604,163.2603617583837,357.91012754726364,137.7471388157174
0.032483,374.70607608452013,165.86669735270726,360.93968978732823,139.21982462274184
0.034288,378.4048261921842,168.42141452540358,364.0320463210579,140.68482331948064
0.036093,382.13872288005007,170.91973198316555,367.1873036524824,142.14107974346436
0.037897,385.9111165726239,173.3568066113641,370.4113503620838,143.5875512714617
0.039702,389.7202498145048,175.7316178282193,373.7037682359039,145.0255943160304
0.041507,393.56941641250353,178.0388291298666,377.0705894035531,146.45414240758353
0.043311,397.45575529742007,180.27309241735537,380.5114616522035,147.87214922485185
0.045116,401.38070368468135,182.4325433464295,384.0295905026008,149.28091416022164
0.046921,405.3514448019487,184.51142398566301,387.635181032469,150.6793611201368
0.048725,409.3582710981458,186.50412313778293,391.320812528075,152.06644003200944
0.05053,413.41072749147173,188.40827989163074,395.0982600427839,153.44338690724882
0.052334,417.50726858528395,190.2174086601245,398.96867222307515,154.8083688831229
0.054139,421.6493107313669,191.92953328583488,402.93516607100725,156.16258896597247
0.055944,425.8452667283055,193.5402684209934,407.00845917858817,157.50495638172885
0.057748,430.08954291992427,195.04662500627106,411.18410292863473,158.8344091645202
0.059553,434.392372762188,196.4497082683515,415.4729652299433,160.15208122021215
0.061358,438.76216511421956,197.75023441888695,419.88339464937906,161.45687564884685
0.063162,443.19607969196716,198.95180160211288,424.4105758037123,162.74772850267183
0.064967,447.7157614089298,200.06262874005878,429.0735090787969,164.02569849791578
0.066772,452.3259939369672,201.09141317600972,433.87227136830626,165.28968787515655
0.068576,457.0344256237503,202.0492192532363,438.80843420911583,166.53862916334145
0.070381,461.8707035711604,202.95052859382207,443.90535969677126,167.77350330895888
0.072185,466.8346600958279,203.80931464708064,449.1544077170644,168.99254258999792
0.07399,471.95528964507525,204.64222607069897,454.57667073830993,170.19668787100238
0.075795,477.2476742793694,205.4641769471137,460.1784549420225,171.38483201466045
0.077599,482.72024126732464,206.28948851019402,465.9595587934724,172.55590845844688
0.079404,488.4110499438854,207.133610981679,471.9511582641219,173.71077406365367
0.081209,494.32368425685183,208.0106384067312,478.14896665663383,174.8483291377256
0.083013,500.4783873178342,208.934088317881,484.5662171516715,175.96751348395603
0.084818,506.9071898792495,209.91779662290068,491.2288946480736,177.0691057466624
0.086623,513.6163155416019,210.9723461054667,498.1371753937422,178.1520206551803
